Character,Frequency,Radical_position,Radical,Strokes
的,1,白 106.3,白,8
一,2,一 1.0,一,1
是,3,日 72.5,日,9
不,4,一 1.3,一,4
了,5,亅 6.1,亅,2
在,6,土 32.3,土,6
人,7,人 9.0,人,2
有,8,月 74.2,月,6
我,9,戈 62.3,戈,7
他,10,人 9.3,人,5
这,11,辵 162.4,辵,7
个,12,丨 2.2,丨,3
们,13,人 9.3,人,5
中,14,丨 2.3,丨,4
来,15,木 75.3,木,7
上,16,一 1.2,一,3
大,17,大 37.0,大,3
为,18,丶 3.3,丶,4
和,19,口 30.5,口,8
国,20,囗 31.5,囗,8
地,21,土 32.3,土,6
到,22,刀 18.6,刀,8
以,23,人 9.3,人,4
说,24,言 149.7,言,9
时,25,日 72.3,日,7
要,26,襾 146.3,襾,9
就,27,尢 43.9,尢,12
出,28,凵 17.3,凵,5
会,29,人 9.4,人,6
可,30,口 30.2,口,5
也,31,乙 5.2,乙,3
你,32,人 9.5,人,7
对,33,寸 41.2,寸,5
生,34,生 100.0,生,5
能,35,肉 130.6,肉,10
而,36,而 126.0,而,6
子,37,子 39.0,子,3
那,38,邑 163.4,邑,6
得,39,彳 60.8,彳,11
于,40,二 7.1,二,3
着,41,目 109.6,目,11
下,42,一 1.2,一,3
自,43,自 132.0,自,6
之,44,丿 4.3,丿,3
年,45,干 51.3,干,6
过,46,辵 162.3,辵,6
发,47,又 29.3,又,5
后,48,口 30.3,口,6
作,49,人 9.5,人,7
里,50,里 166.0,里,7
用,51,用 101.0,用,5
道,52,辵 162.9,辵,12
行,53,行 144.0,行,6
所,54,戶 63.4,戶,8
然,55,火 86.8,火,12
家,56,宀 40.7,宀,10
种,57,禾 115.4,禾,9
事,58,亅 6.7,亅,8
成,59,戈 62.3,戈,6
方,60,方 70.0,方,4
多,61,夕 36.3,夕,6
经,62,糸 120.5,糸,8
么,63,丿 4.2,丿,3
去,64,厶 28.3,厶,5
法,65,水 85.5,水,8
学,66,子 39.5,子,8
如,67,女 38.3,女,6
都,68,邑 163.9,邑,10
同,69,口 30.3,口,6
现,70,玉 96.4,玉,8
当,71,小 42.3,小,6
没,72,水 85.4,水,7
动,73,力 19.4,力,6
面,74,面 176.0,面,9
起,75,走 156.3,走,10
看,76,目 109.4,目,9
定,77,宀 40.5,宀,8
天,78,大 37.1,大,4
分,79,刀 18.2,刀,4
还,80,辵 162.4,辵,7
进,81,辵 162.4,辵,7
好,82,女 38.3,女,6
小,83,小 42.0,小,3
部,84,邑 163.8,邑,10
其,85,八 12.6,八,8
些,86,二 7.5,二,8
主,87,丶 3.4,丶,5
样,88,木 75.6,木,10
理,89,玉 96.7,玉,11
心,90,心 61.0,心,4
她,91,女 38.3,女,6
本,92,木 75.1,木,5
前,93,刀 18.7,刀,9
开,94,廾 55.1,廾,4
但,95,人 9.5,人,7
因,96,囗 31.3,囗,6
只,97,口 30.2,口,5
从,98,人 9.2,人,4
想,99,心 61.9,心,13
实,100,宀 40.5,宀,8
日,101,日 72.0,日,4
军,102,車 159.2,車,6
者,103,老 125.4,老,8
意,104,心 61.9,心,13
无,105,无 71.0,无,4
力,106,力 19.0,力,2
它,107,宀 40.2,宀,5
与,108,一 1.3,一,3
长,109,長 168.0,長,4
把,110,手 64.4,手,7
机,111,木 75.2,木,6
十,112,十 24.0,十,2
民,113,氏 83.1,氏,5
第,114,竹 118.5,竹,11
公,115,八 12.2,八,4
此,116,止 77.2,止,6
已,117,己 49.0,己,3
工,118,工 48.0,工,3
使,119,人 9.6,人,8
情,120,心 61.8,心,11
明,121,日 72.4,日,8
性,122,心 61.5,心,8
知,123,矢 111.3,矢,8
全,124,入 11.4,入,6
三,125,一 1.2,一,3
